Identifier,LeadID,Industry,Bank_Name,description,transaction_type,amount,B2C_KW_Category,Yodlee_Category
309,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,80.65,TRADE REVENUE,Other Income
310,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,952,TRADE REVENUE,Uncategorized
311,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx2925,debit,11405,TRANSFERS,Transfers
312,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,195.45,TRADE REVENUE,Other Income
313,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1782.16,TRADE REVENUE,Uncategorized
314,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,58.16,TRADE REVENUE,Uncategorized
315,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,33.98,TRADE REVENUE,Other Income
316,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,773.21,TRADE REVENUE,Uncategorized
317,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,236.08,TRADE REVENUE,Uncategorized
318,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,435.06,TRADE REVENUE,Other Income
319,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,438.73,TRADE REVENUE,Other Income
320,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,439.69,TRADE REVENUE,Uncategorized
321,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,131.45,TRADE REVENUE,Other Income
322,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,765.92,TRADE REVENUE,Uncategorized
323,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,866.25,TRADE REVENUE,Other Income
324,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,232.68,TRADE REVENUE,Uncategorized
325,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,215.49,TRADE REVENUE,Other Income
326,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,415.58,TRADE REVENUE,Uncategorized
327,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,217.06,TRADE REVENUE,Uncategorized
328,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,13.59,TRADE REVENUE,Other Income
329,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,459.2,TRADE REVENUE,Uncategorized
330,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,400.23,TRADE REVENUE,Uncategorized
331,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,68,TRADE REVENUE,Other Income
332,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,9,TRADE REVENUE,Other Income
333,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,608.94,TRADE REVENUE,Uncategorized
334,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,400.83,TRADE REVENUE,Other Income
335,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,254.53,TRADE REVENUE,Uncategorized
336,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,634.77,TRADE REVENUE,Other Income
337,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,454.96,TRADE REVENUE,Uncategorized
338,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,186,TRADE REVENUE,Other Income
339,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,677.19,TRADE REVENUE,Uncategorized
340,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,89.66,TRADE REVENUE,Uncategorized
341,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx2814,debit,1310,TRANSFERS,Transfers
342,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,662.07,TRADE REVENUE,Uncategorized
343,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,395.66,TRADE REVENUE,Uncategorized
344,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,163.42,TRADE REVENUE,Other Income
345,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx4128,debit,851,TRANSFERS,Transfers
346,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,143.92,TRADE REVENUE,Other Income
347,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,338.96,TRADE REVENUE,Uncategorized
348,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS AXP DISCNT xxxxxx9665 CCD ID: xxxxxx2250,debit,277.1,CREDIT CARD PAYMENTS,Credit Card Payments
349,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,346.5,TRADE REVENUE,Other Income
350,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,298.27,TRADE REVENUE,Uncategorized
351,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx9669,debit,1530,TRANSFERS,Transfers
352,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,277.27,TRADE REVENUE,Other Income
353,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1253.18,TRADE REVENUE,Uncategorized
354,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,478.69,TRADE REVENUE,Uncategorized
355,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx1310,debit,1249,TRANSFERS,Transfers
356,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSSTL xxxxxxxxx1252 CCD ID: xxxxxx0042,debit,622.82,TRADE PAYMENTS,Travel
357,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1279.58,TRADE REVENUE,Uncategorized
358,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,121.52,TRADE REVENUE,Other Income
359,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,293.89,TRADE REVENUE,Other Income
360,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS COLLECTION xxxxxx9665 CCD ID: xxxxxx2250,debit,7.95,CREDIT CARD PAYMENTS,Credit Card Payments
361,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,775.3,TRADE REVENUE,Uncategorized
362,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx8574,debit,9800,TRANSFERS,Transfers
363,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,469.14,TRADE REVENUE,Other Income
364,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,812.01,TRADE REVENUE,Uncategorized
365,2369,Health Care and Social Assistance,Dag Site - Bank,SERVICE FEE,debit,18,SERVICE CHARGES/FEES,Service Charges/Fees
366,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,839.83,TRADE REVENUE,Other Income
367,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,993.12,TRADE REVENUE,Uncategorized
368,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,846.43,TRADE REVENUE,Uncategorized
369,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,407.65,TRADE REVENUE,Uncategorized
370,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,938.21,TRADE REVENUE,Uncategorized
371,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,1405.42,TRADE REVENUE,Other Income
372,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,640.75,TRADE REVENUE,Other Income
373,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1396.26,TRADE REVENUE,Uncategorized
374,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx4330,debit,6474,TRANSFERS,Transfers
375,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1200.17,TRADE REVENUE,Uncategorized
376,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,665.44,TRADE REVENUE,Other Income
377,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,606.18,TRADE REVENUE,Uncategorized
378,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,317.13,TRADE REVENUE,Uncategorized
379,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,96.66,TRADE REVENUE,Other Income
380,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,403.92,TRADE REVENUE,Uncategorized
381,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,367.17,TRADE REVENUE,Uncategorized
382,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,950.63,TRADE REVENUE,Other Income
383,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,499.48,TRADE REVENUE,Other Income
384,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,528.46,TRADE REVENUE,Uncategorized
385,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,97.48,TRADE REVENUE,Other Income
386,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,266.01,TRADE REVENUE,Uncategorized
387,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,302.83,TRADE REVENUE,Other Income
388,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,171.73,TRADE REVENUE,Uncategorized
389,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx6238,debit,7212,TRANSFERS,Transfers
390,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,74.75,TRADE REVENUE,Other Income
391,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,6042.4,TRADE REVENUE,Uncategorized
392,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,541.71,TRADE REVENUE,Uncategorized
393,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,475.25,TRADE REVENUE,Uncategorized
394,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,866.48,TRADE REVENUE,Other Income
395,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,78.57,TRADE REVENUE,Other Income
396,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,142.58,TRADE REVENUE,Uncategorized
397,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx4989,debit,1009,TRANSFERS,Transfers
398,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx3075,debit,2011,TRANSFERS,Transfers
399,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,674.95,TRADE REVENUE,Other Income
400,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1336.01,TRADE REVENUE,Uncategorized
401,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,175.15,TRADE REVENUE,Other Income
402,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS AXP DISCNT xxxxxx9665 CCD ID: xxxxxx2250,debit,268.03,CREDIT CARD PAYMENTS,Credit Card Payments
403,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,2610.68,TRADE REVENUE,Uncategorized
404,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx7990,debit,2518,TRANSFERS,Transfers
405,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx9956,debit,804,TRANSFERS,Transfers
406,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,22.56,TRADE REVENUE,Uncategorized
407,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,371.11,TRADE REVENUE,Uncategorized
408,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSSTL xxxxxxxxx1252 CCD ID: xxxxxx0042,debit,373.3,TRADE PAYMENTS,Travel
409,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,783.06,TRADE REVENUE,Uncategorized
410,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,660.16,TRADE REVENUE,Other Income
411,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,1591.71,TRADE REVENUE,Other Income
412,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS COLLECTION xxxxxx9665 CCD ID: xxxxxx2250,debit,7.95,CREDIT CARD PAYMENTS,Credit Card Payments
413,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx4089,debit,2979,TRANSFERS,Transfers
414,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,926.72,TRADE REVENUE,Uncategorized
415,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx0620,debit,652,TRANSFERS,Transfers
416,2369,Health Care and Social Assistance,Dag Site - Bank,SERVICE FEE,debit,18,SERVICE CHARGES/FEES,Service Charges/Fees
417,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,61.25,TRADE REVENUE,Other Income
418,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,364.59,TRADE REVENUE,Uncategorized
419,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,37.52,TRADE REVENUE,Other Income
420,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,15.18,TRADE REVENUE,Uncategorized
421,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,190.58,TRADE REVENUE,Uncategorized
422,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx6336,debit,5991,TRANSFERS,Transfers
423,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,394.55,TRADE REVENUE,Uncategorized
424,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,702.12,TRADE REVENUE,Other Income
425,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,458,TRADE REVENUE,Other Income
426,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1170.55,TRADE REVENUE,Uncategorized
427,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,849.37,TRADE REVENUE,Uncategorized
428,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,1722.44,TRADE REVENUE,Other Income
429,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,483.91,TRADE REVENUE,Uncategorized
430,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,19.3,TRADE REVENUE,Other Income
431,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx4636,debit,2136,TRANSFERS,Transfers
432,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,249.89,TRADE REVENUE,Uncategorized
433,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,490.27,TRADE REVENUE,Other Income
434,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,794.08,TRADE REVENUE,Uncategorized
435,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,601.74,TRADE REVENUE,Uncategorized
436,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx6899,debit,174,TRANSFERS,Transfers
437,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,174.44,TRADE REVENUE,Uncategorized
438,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx6730,debit,881,TRANSFERS,Transfers
439,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,489.34,TRADE REVENUE,Other Income
440,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,391.77,TRADE REVENUE,Uncategorized
441,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,132.4,TRADE REVENUE,Other Income
442,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,744.27,TRADE REVENUE,Uncategorized
443,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx8594,debit,877,TRANSFERS,Transfers
444,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx4705,debit,4231,TRANSFERS,Transfers
445,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS COLLECTION xxxxxx9665 CCD ID: xxxxxx2250,debit,122.75,CREDIT CARD PAYMENTS,Credit Card Payments
446,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,633.7,TRADE REVENUE,Uncategorized
447,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,308.59,TRADE REVENUE,Uncategorized
448,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,707.46,TRADE REVENUE,Uncategorized
449,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,23.97,TRADE REVENUE,Other Income
450,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,15.66,TRADE REVENUE,Other Income
451,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,983.34,TRADE REVENUE,Uncategorized
452,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,319.19,TRADE REVENUE,Other Income
453,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,136.99,TRADE REVENUE,Uncategorized
454,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,841.76,TRADE REVENUE,Other Income
455,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,383.14,TRADE REVENUE,Uncategorized
456,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx4598,debit,4657,TRANSFERS,Transfers
457,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,778.46,TRADE REVENUE,Other Income
458,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,814.19,TRADE REVENUE,Uncategorized
459,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,515.56,TRADE REVENUE,Uncategorized
460,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1554.73,TRADE REVENUE,Uncategorized
461,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,294.22,TRADE REVENUE,Other Income
462,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS AXP DISCNT xxxxxx9665 CCD ID: xxxxxx2250,debit,375.26,CREDIT CARD PAYMENTS,Credit Card Payments
